name,university,rank,url,cit,cit_2012,hid,hid_2012,citations,papers
Jessica C Mar,Yeshiva University,96,https://scholar.google.com/citations?user=6NV_uxgAAAAJ&hl=en,2890,2620,25,24,1826,28
Hsinhan Tsai,Rice University,16,https://scholar.google.com/citations?user=no8uDikAAAAJ&hl=en,2122,2104,16,16,2021,31
Ninghui Li,Purdue University,57,https://scholar.google.com/citations?user=Qc_4yiYAAAAJ&hl=en,12890,6518,58,42,1107,17
Neil Immerman,University of Massachusetts Amherst,77,https://scholar.google.com/citations?user=DbZWZr8AAAAJ&hl=en,10054,3077,39,26,1237,19
Chuangang Hu,Case Western Reserve University,38,https://scholar.google.com/citations?user=18C-88YAAAAJ&hl=en,4455,4424,37,36,4160,64
Ting Zhu,Georgia Institute of Technology,35,https://scholar.google.com/citations?user=3_80JesAAAAJ&hl=en,8722,6498,45,38,3379,52
Xiaodong Chi,University of Texas at Austin,59,https://scholar.google.com/citations?user=9KLvqvgAAAAJ&hl=en,2556,2544,20,20,2209,34
Bum Kyu Lee,University of Texas at Austin,59,https://scholar.google.com/citations?user=eCTnwqoAAAAJ&hl=en,3000,2796,18,16,1819,28
Randall W. Engle,Georgia Institute of Technology,35,https://scholar.google.com/citations?user=irWRyqcAAAAJ&hl=en,37104,20459,72,57,2403,37
Stephen B Montgomery,Stanford,7,https://scholar.google.com/citations?user=117h3CAAAAAJ&hl=en,18219,14177,40,38,4155,64
Russell K Schutt,Boston University,37,https://scholar.google.com/citations?user=hYLtxSUAAAAJ&hl=en,5499,3181,27,19,1623,25
Alan M. Taylor,University of California Davis,48,https://scholar.google.com/citations?user=agPERYMAAAAJ&hl=en,16829,8303,53,42,3564,55
Ye Li,Stanford,7,https://scholar.google.com/citations?user=K3bbVRcAAAAJ&hl=en,44739,40127,98,95,37125,573
Donald Hood,Columbia,5,https://scholar.google.com/citations?user=WfADQp8AAAAJ&hl=en,14873,5702,71,39,907,14
Christian T. Lundblad,University of Connecticut,58,https://scholar.google.com/citations?user=BtoRvuYAAAAJ&hl=en,7074,4010,20,19,583,9
Martin Blaser,New York University,30,https://scholar.google.com/citations?user=gr50sj4AAAAJ&hl=en,96940,30899,149,82,12167,188
Joseph G. Grzywacz,Florida State University,82,https://scholar.google.com/citations?user=m1vs4XsAAAAJ&hl=en,13034,8262,56,47,388,6
Deep Jariwala,California Institute of Technology,10,https://scholar.google.com/citations?user=u1CHA2sAAAAJ&hl=en,4954,4741,26,26,3297,51
Deep Jariwala,Northwestern,13,https://scholar.google.com/citations?user=u1CHA2sAAAAJ&hl=en,4954,4741,26,26,3297,51
Yang Liu,Emory,21,https://scholar.google.com/citations?user=TK0kVPEAAAAJ&hl=en,7197,6723,37,36,10340,160
Meixia Zhao,Purdue University,57,https://scholar.google.com/citations?user=x5dlE10AAAAJ&hl=en,2309,2294,13,13,1227,19
Jennifer Wolch,UC Berkeley,22,https://scholar.google.com/citations?user=u4YjaNgAAAAJ&hl=en,10380,5336,52,38,2130,33
Amber M. Rice,Rice University,16,https://scholar.google.com/citations?user=nYYfYX4AAAAJ&hl=en,1636,1314,17,14,903,14
Amber M. Rice,Lehigh,46,https://scholar.google.com/citations?user=nYYfYX4AAAAJ&hl=en,1636,1314,17,14,903,14
Ion Stoica,UC Berkeley,22,https://scholar.google.com/citations?user=vN-is70AAAAJ&hl=en,84085,45826,111,83,10252,159
Christiane Baumeister,University of Notre Dame,18,https://scholar.google.com/citations?user=b4JVMpUAAAAJ&hl=en,1770,1662,19,19,1675,26
Daniel J. Park,Massachusetts Institute of Technology,6,https://scholar.google.com/citations?user=_BU33KcAAAAJ&hl=en,3030,2764,24,24,2125,33
Bradley Cardinale,University of Michigan,28,https://scholar.google.com/citations?user=N9f43xoAAAAJ&hl=en,15497,11355,53,43,4443,69
Feng Zhang,University of Iowa,80,https://scholar.google.com/citations?user=6xBNhIkAAAAJ&hl=en,3291,2965,19,18,708,11
Yi Ma (_©å_¿ƒ),UC Berkeley,22,https://scholar.google.com/citations?user=XqLiBQMAAAAJ&hl=en,35417,28842,65,55,4371,68
Bruce Avolio,University of Washington,60,https://scholar.google.com/citations?user=1LD_lUEAAAAJ&hl=en,102871,61968,115,99,2827,44
Sushant Sahu,Clemson University,67,https://scholar.google.com/citations?user=vj7WfQwAAAAJ&hl=en,1800,1758,16,16,1028,16
Feng Zhang,University of Georgia,55,https://scholar.google.com/citations?user=6xBNhIkAAAAJ&hl=en,3278,2952,19,18,706,11
Keng-Ku Liu,Washington University in St. Louis,19,https://scholar.google.com/citations?user=KAmBq5IAAAAJ&hl=en,3012,2993,18,18,2566,40
Keng-Ku Liu,Saint Louis University,95,https://scholar.google.com/citations?user=KAmBq5IAAAAJ&hl=en,3012,2993,18,18,2566,40
Jill D Haag,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=Gmo3oW8AAAAJ&hl=en,3522,1320,28,16,449,7
Scott T. Kelley,University of San Diego,93,https://scholar.google.com/citations?user=oHXnsCEAAAAJ&hl=en,17690,14871,33,29,1795,28
Kotoyo Hoshina,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=hKlLQnEAAAAJ&hl=en,11442,9194,59,49,6014,94
Martin Schmaltz,Boston University,37,https://scholar.google.com/citations?user=45lBrUMAAAAJ&hl=en,8220,3314,40,26,1151,18
Brad Schlaggar,University of Washington,60,https://scholar.google.com/citations?user=Aqf3-DsAAAAJ&hl=en,22980,17927,55,49,5946,93
Anders B. Laursen,Rutgers University,70,https://scholar.google.com/citations?user=TN824PIAAAAJ&hl=en,2040,2026,14,14,1918,30
Vellareddy Anantharam,University of Iowa,80,https://scholar.google.com/citations?user=bQ1SR88AAAAJ&hl=en,11358,7461,47,33,4347,68
Robert J. Hijmans,University of California Davis,48,https://scholar.google.com/citations?user=NWdPabcAAAAJ&hl=en,29042,21227,49,40,2812,44
James C. McElroy,University of Iowa,80,https://scholar.google.com/citations?user=y7-b_G4AAAAJ&hl=en,4359,2342,34,23,703,11
Vassiliki Kalogera,Northwestern,13,https://scholar.google.com/citations?user=ty6PIEwAAAAJ&hl=en,29420,20320,92,68,11884,186
Steven J. Spencer,Ohio State University,54,https://scholar.google.com/citations?user=tHCO-DUAAAAJ&hl=en,17673,9127,43,40,575,9
Eric A. Stone,North Carolina State University,84,https://scholar.google.com/citations?user=PRNVb3EAAAAJ&hl=en,17717,12237,33,29,1788,28
Christian Matranga,Massachusetts Institute of Technology,6,https://scholar.google.com/citations?user=dJ-mRjkAAAAJ&hl=en,3524,2076,16,14,1085,17
Josee Dupuis,Boston University,37,https://scholar.google.com/citations?user=yKMZEywAAAAJ&hl=en,20774,14802,63,54,10208,160
Jianxi Gao,Rensselaer Polytechnic Institut,42,https://scholar.google.com/citations?user=qMcWVWgAAAAJ&hl=en,2274,2244,17,17,1531,24
Seongmin Kim,Purdue University,57,https://scholar.google.com/citations?user=iBWjd-UAAAAJ&hl=en,9914,7226,38,25,6631,104
Jing Lei,Carnegie Mellon University,25,https://scholar.google.com/citations?user=rAP3wVwAAAAJ&hl=en,2131,2065,17,17,1721,27
Cormac Flanagan,University of California Santa Cruz,85,https://scholar.google.com/citations?user=XkiApd4AAAAJ&hl=en,10743,4613,47,32,1974,31
Juliana Levine Hwang,University of Southern California,24,https://scholar.google.com/citations?user=p44fgQ4AAAAJ&hl=en,3068,988,25,18,191,3
Jay Shendure,University of Washington,60,https://scholar.google.com/citations?user=Gb8qVzQAAAAJ&hl=en,39591,32435,86,81,17180,270
Larry Wasserman,Carnegie Mellon University,25,https://scholar.google.com/citations?user=XcD1ffwAAAAJ&hl=en,19275,9857,60,45,7250,114
Tuo Zhao,Georgia Institute of Technology,35,https://scholar.google.com/citations?user=EJXN6tYAAAAJ&hl=en,1790,1758,15,15,1716,27
James Dulebohn,Michigan State University,83,https://scholar.google.com/citations?user=FvrscXUAAAAJ&hl=en,3239,2133,28,23,1144,18
Sylvia Ratnasamy,UC Berkeley,22,https://scholar.google.com/citations?user=sAdDcvQAAAAJ&hl=en,26355,8266,51,41,2412,38
Yigong Shi,Princeton,1,https://scholar.google.com/citations?user=aedLOyoAAAAJ&hl=en,37294,16925,93,67,3554,56
Elizabeth Morrison,New York University,30,https://scholar.google.com/citations?user=DfIs4FsAAAAJ&hl=en,17220,9218,32,31,317,5
Yongping Fu,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=fEEVhXcAAAAJ&hl=en,2371,2364,22,22,2155,34
Kristopher J. Preacher,Vanderbilt,17,https://scholar.google.com/citations?user=sKM_3t4AAAAJ&hl=en,55210,44357,55,52,3295,52
James Ostheimer,University of Virginia,26,https://scholar.google.com/citations?user=BHLYNVkAAAAJ&hl=en,2381,1006,17,15,190,3
John Lisman,Brandeis University,34,https://scholar.google.com/citations?user=OHvsbNIAAAAJ&hl=en,28856,11582,83,58,2849,45
Brent Waters,University of Texas at Austin,59,https://scholar.google.com/citations?user=VEKxHOAAAAAJ&hl=en,34664,28272,69,65,4431,70
Marilyn Cornelis,Northwestern,13,https://scholar.google.com/citations?user=kOS0nvcAAAAJ&hl=en,16526,14438,54,51,5565,88
Marcelo O. Dietrich,Yale,4,https://scholar.google.com/citations?user=z3vKy74AAAAJ&hl=en,4300,3649,32,29,2276,36
Martin Uribe,Columbia,5,https://scholar.google.com/citations?user=V2eY1aoAAAAJ&hl=en,13336,7184,42,34,1896,30
David Moore,Yale,4,https://scholar.google.com/citations?user=DpUEtrQAAAAJ&hl=en,4850,3900,27,25,2085,33
Eduardo F. Camacho,American University,69,https://scholar.google.com/citations?user=RuDBp0UAAAAJ&hl=en,17171,9544,59,43,7261,115
John P. Finley,Purdue University,57,https://scholar.google.com/citations?user=4vAFNVMAAAAJ&hl=en,11801,4510,61,37,505,8
Arlene M. Fiore,Columbia,5,https://scholar.google.com/citations?user=ZJKM9FUAAAAJ&hl=en,11194,6499,53,44,2209,35
Paul S. Frenette,Yeshiva University,96,https://scholar.google.com/citations?user=JX9fXWYAAAAJ&hl=en,20747,13368,71,56,5738,91
Sunghwan Ihm,Princeton,1,https://scholar.google.com/citations?user=Zys-zKAAAAAJ&hl=en,2009,1904,10,9,252,4
Sim B Sitkin,Duke University,9,https://scholar.google.com/citations?user=MNXGDy8AAAAJ&hl=en,23445,10762,36,31,441,7
Dechun Wang,Texas A&M University,72,https://scholar.google.com/citations?user=191R6ZMAAAAJ&hl=en,3952,3063,16,15,882,14
JE Rowe,North Carolina State University,84,https://scholar.google.com/citations?user=xTkqygsAAAAJ&hl=en,10584,1197,55,15,1638,26
Josh Goldberger,Ohio State University,54,https://scholar.google.com/citations?user=62cpTvMAAAAJ&hl=en,14804,8105,31,27,2834,45
Yucai Wang,University of Chicago,3,https://scholar.google.com/citations?user=_-7clK0AAAAJ&hl=en,3852,3383,35,33,1448,23
Peter Bloomfield,North Carolina State University,84,https://scholar.google.com/citations?user=yfhoqzcAAAAJ&hl=en,9820,2121,35,20,755,12
Xiao-Jing Wang,New York University,30,https://scholar.google.com/citations?user=cv-YgL0AAAAJ&hl=en,21608,11956,76,58,3082,49
Sebastian Zí_llner,University of Michigan,28,https://scholar.google.com/citations?user=b4SbbzYAAAAJ&hl=en,12630,9646,31,28,2138,34
Dan Littman,New York University,30,https://scholar.google.com/citations?user=k_88WOoAAAAJ&hl=en,90507,40311,142,94,6846,109
Akhil Gupta,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=PZaJ3mgAAAAJ&hl=en,17031,7871,26,20,628,10
Paul Messina,California Institute of Technology,10,https://scholar.google.com/citations?user=hVzyAcoAAAAJ&hl=en,3977,1295,22,10,816,13
Sheng-Heng Chung,University of Texas at Austin,59,https://scholar.google.com/citations?user=7s4KmlMAAAAJ&hl=en,2721,2707,21,21,2698,43
Jun S Liu,Harvard,2,https://scholar.google.com/citations?user=-bHzVq8AAAAJ&hl=en,43005,18236,78,53,4954,79
Thomas J. Kempa,Johns Hopkins University,12,https://scholar.google.com/citations?user=vblMtH4AAAAJ&hl=en,5239,3490,14,13,627,10
"He, Yuping",University of California Davis,48,https://scholar.google.com/citations?user=d6eT_cYAAAAJ&hl=en,10702,8331,11,11,313,5
Christopher Blattman,University of Chicago,3,https://scholar.google.com/citations?user=yu2Oz0YAAAAJ&hl=en,4922,3874,24,23,1126,18
"Christopher S. Chen, MD, Ph.D.",Boston University,37,https://scholar.google.com/citations?user=-6maX04AAAAJ&hl=en,37713,22155,89,73,10007,160
Constantinos Koumenis,University of Pennsylvania,8,https://scholar.google.com/citations?user=tN7opvQAAAAJ&hl=en,11758,8002,51,35,4625,74
Richard Williams,University of Notre Dame,18,https://scholar.google.com/citations?user=3kgK_RoAAAAJ&hl=en,3779,2304,17,12,500,8
David L. Swartz,Boston University,37,https://scholar.google.com/citations?user=yA-G2CIAAAAJ&hl=en,4060,2266,14,13,125,2
Sen Xin,University of Texas at Austin,59,https://scholar.google.com/citations?user=LstlIq8AAAAJ&hl=en,4870,4825,29,29,4125,66
Thomas A Birkland,North Carolina State University,84,https://scholar.google.com/citations?user=0b7gBDYAAAAJ&hl=en,5427,3350,25,20,1125,18
Kunihiro Matsushita,Johns Hopkins University,12,https://scholar.google.com/citations?user=Z42qYtkAAAAJ&hl=en,14417,12905,47,44,5936,95
Zhentao Zhang,Ohio State University,54,https://scholar.google.com/citations?user=shniJX0AAAAJ&hl=en,6213,4806,26,21,3935,63
Leighton Core,University of Connecticut,58,https://scholar.google.com/citations?user=a12r-M0AAAAJ&hl=en,4486,3428,22,22,1249,20
Robert Dellavalle,University of Virginia,26,https://scholar.google.com/citations?user=Qo_2B2cAAAAJ&hl=en,29823,24729,40,32,15667,251
Robert Dellavalle,University of Denver,88,https://scholar.google.com/citations?user=Qo_2B2cAAAAJ&hl=en,29823,24729,40,32,15667,251
Robert Dellavalle,University of Colorado,92,https://scholar.google.com/citations?user=Qo_2B2cAAAAJ&hl=en,29823,24729,40,32,15667,251
Geoffrey Saxe,UC Berkeley,22,https://scholar.google.com/citations?user=XxcK1qIAAAAJ&hl=en,5725,1868,38,22,1248,20
James P Noonan,Yale,4,https://scholar.google.com/citations?user=sIXRYYEAAAAJ&hl=en,3668,2269,24,22,1123,18
David Patterson,UC Berkeley,22,https://scholar.google.com/citations?user=Wj4ZBFIAAAAJ&hl=en,75239,30369,93,53,5546,89
David Weil,Brown University,14,https://scholar.google.com/citations?user=Vu1zGgoAAAAJ&hl=en,29464,12250,38,30,1059,17
Michael Mrazek,University of California Santa Barbara,39,https://scholar.google.com/citations?user=tAMW6cMAAAAJ&hl=en,1851,1834,16,15,1619,26
Tara C. Matise,Rutgers University,70,https://scholar.google.com/citations?user=gKTHzuAAAAAJ&hl=en,9876,4004,41,27,2802,45
Olaf Sporns,Indiana University,90,https://scholar.google.com/citations?user=gzPWwdIAAAAJ&hl=en,44082,32775,81,65,7221,116
Thomas Cormen,Dartmouth College,11,https://scholar.google.com/citations?user=V5FJ6pIAAAAJ&hl=en,50909,17740,27,15,622,10
Jun Su,University of Pittsburgh,68,https://scholar.google.com/citations?user=KZdyHKoAAAAJ&hl=en,2101,2093,22,22,2237,36
Matthew Stephens,University of Chicago,3,https://scholar.google.com/citations?user=qOQFhUkAAAAJ&hl=en,73430,42768,60,55,4655,75
Peter McLaren,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=cx7WhGwAAAAJ&hl=en,39082,14919,79,51,5707,92
Richard Thaler,University of Chicago,3,https://scholar.google.com/citations?user=Tvzd5GgAAAAJ&hl=en,111901,50839,93,75,2295,37
Anthony P Monaco,Tufts University,29,https://scholar.google.com/citations?user=rsUZ2eIAAAAJ&hl=en,46103,15497,104,62,2481,40
Kent Daniel,Columbia,5,https://scholar.google.com/citations?user=A9DgoAEAAAAJ&hl=en,15130,7000,21,17,744,12
Sujit S.Nair,George Washington University,56,https://scholar.google.com/citations?user=FsHiQwQAAAAJ&hl=en,1512,1121,23,19,620,10
woojong yu,Yeshiva University,96,https://scholar.google.com/citations?user=DaH9zKsAAAAJ&hl=en,2682,2441,23,20,1612,26
Alan Luntz,Stanford,7,https://scholar.google.com/citations?user=FuMuJGYAAAAJ&hl=en,13240,7267,55,30,2789,45
Cheryl Dennison Himmelfarb,Johns Hopkins University,12,https://scholar.google.com/citations?user=yI1PFFkAAAAJ&hl=en,9206,7965,35,31,6196,100
"Zhang, Zhenhai",Southern Methodist University,63,https://scholar.google.com/citations?user=1dq4rVYAAAAJ&hl=en,3223,2868,19,18,1363,22
Herbert W. Virgin,University of Washington,60,https://scholar.google.com/citations?user=77002ZYAAAAJ&hl=en,27771,17131,89,68,6493,105
Maria Ciofani,Duke University,9,https://scholar.google.com/citations?user=MUfk_vkAAAAJ&hl=en,3836,2297,19,16,742,12
Jun Yu,Yeshiva University,96,https://scholar.google.com/citations?user=PjX6NbwAAAAJ&hl=en,2905,2587,26,22,1484,24
"Hillol Bala, Ph.D.",Indiana University,90,https://scholar.google.com/citations?user=C_sMR9YAAAAJ&hl=en,5329,4682,15,15,1360,22
Todd Austin,University of Michigan,28,https://scholar.google.com/citations?user=B8O_SVkAAAAJ&hl=en,24474,8613,55,35,1977,32
Patrick Concannon,University of Florida,45,https://scholar.google.com/citations?user=Lbnl614AAAAJ&hl=en,23492,8910,72,43,3583,58
Robert Tibshirani,Stanford,7,https://scholar.google.com/citations?user=ZpG_cJwAAAAJ&hl=en,271774,137019,144,103,8956,145
Susan Anenberg,George Washington University,56,https://scholar.google.com/citations?user=vNs9dgUAAAAJ&hl=en,2142,2052,12,12,1605,26
Harry Chou,University of Texas at Austin,59,https://scholar.google.com/citations?user=orjM4LgAAAAJ&hl=en,2469,2468,21,21,2469,40
Jonathan Zinman,Dartmouth College,11,https://scholar.google.com/citations?user=faxNJkoAAAAJ&hl=en,6473,4914,31,31,1912,31
Sarkis K. Mazmanian,California Institute of Technology,10,https://scholar.google.com/citations?user=C7T_UdYAAAAJ&hl=en,19693,14917,50,45,4934,80
William Nordhaus,Yale,4,https://scholar.google.com/citations?user=1-lLv0QAAAAJ&hl=en,52403,19720,99,64,3145,51
Oki Gunawan,American University,69,https://scholar.google.com/citations?user=yG65nsoAAAAJ&hl=en,10018,9336,38,36,6597,107
Brandon Schmeichel,Texas A&M University,72,https://scholar.google.com/citations?user=VIpCi0IAAAAJ&hl=en,10873,8289,38,35,3265,53
Ruediger Bachmann,University of Notre Dame,18,https://scholar.google.com/citations?user=kdie4xEAAAAJ&hl=en,1554,1407,13,13,1355,22
Myron Gutmann,University of Colorado,92,https://scholar.google.com/citations?user=VNAFWVoAAAAJ&hl=en,4817,3088,25,18,739,12
Satoru Emori,Virginia Tech,74,https://scholar.google.com/citations?user=xdzlWowAAAAJ&hl=en,1610,1602,16,16,1539,25
Zhaoliang Zhang,University of California Davis,48,https://scholar.google.com/citations?user=u8RPyuwAAAAJ&hl=en,3380,2535,24,21,1662,27
Cecilia Arighi,University of Delaware,86,https://scholar.google.com/citations?user=NUIAfUwAAAAJ&hl=en,10579,7034,27,23,3139,51
Oki Gunawan,Princeton,1,https://scholar.google.com/citations?user=yG65nsoAAAAJ&hl=en,10003,9322,38,36,6585,107
Shouheng Sun,Brown University,14,https://scholar.google.com/citations?user=tPoTQBwAAAAJ&hl=en,50917,30064,106,92,6338,103
Michael Domjan,University of Texas at Austin,59,https://scholar.google.com/citations?user=lv-gZY4AAAAJ&hl=en,7279,1629,46,16,1045,17
Stephen P. Ryan,Washington University in St. Louis,19,https://scholar.google.com/citations?user=ERSKIAwAAAAJ&hl=en,2282,1594,14,14,922,15
Stephen P. Ryan,Saint Louis University,95,https://scholar.google.com/citations?user=ERSKIAwAAAAJ&hl=en,2282,1594,14,14,922,15
Mitchell Petersen,Northwestern,13,https://scholar.google.com/citations?user=8d7du1wAAAAJ&hl=en,23654,12805,20,16,799,13
Katherine Buckley,George Washington University,56,https://scholar.google.com/citations?user=xTv7DloAAAAJ&hl=en,2679,1900,16,16,799,13
William A. Pastor,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=udglzK0AAAAJ&hl=en,5737,4995,18,18,1106,18
Cantor rm,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=dYJJzzwAAAAJ&hl=en,25686,15726,76,45,4913,80
Keith Decker,University of Delaware,86,https://scholar.google.com/citations?user=8odG5jkAAAAJ&hl=en,8479,1631,43,20,614,10
Joel Parker,University of North Carolina at Chapel Hill,31,https://scholar.google.com/citations?user=lGMQTBQAAAAJ&hl=en,35583,26922,69,61,14059,229
Yanjie Chao,Tufts University,29,https://scholar.google.com/citations?user=OoU1lN8AAAAJ&hl=en,2392,2224,14,14,798,13
Stefan Funk,Stanford,7,https://scholar.google.com/citations?user=kVjREV4AAAAJ&hl=en,33693,25771,93,86,10616,173
Benoit Cushman-Roisin,Dartmouth College,11,https://scholar.google.com/citations?user=MvEFnC8AAAAJ&hl=en,3562,1170,29,14,184,3
Eric B. Taylor,University of Iowa,80,https://scholar.google.com/citations?user=VfGad80AAAAJ&hl=en,2163,1419,19,14,551,9
Pietro Perona,California Institute of Technology,10,https://scholar.google.com/citations?user=j29kMCwAAAAJ&hl=en,60875,34034,90,68,5752,94
Paul West,University of Minnesota,73,https://scholar.google.com/citations?user=_N1qYdoAAAAJ&hl=en,5184,5081,17,17,2386,39
John Ohlrogge,University of Michigan,28,https://scholar.google.com/citations?user=VcOBFr0AAAAJ&hl=en,22719,10439,82,56,2447,40
John Ohlrogge,Michigan State University,83,https://scholar.google.com/citations?user=VcOBFr0AAAAJ&hl=en,22719,10439,82,56,2447,40
Amir Sufi,University of Chicago,3,https://scholar.google.com/citations?user=ijJFhHsAAAAJ&hl=en,10576,8414,32,31,2812,46
David Walker,Princeton,1,https://scholar.google.com/citations?user=UEI2g60AAAAJ&hl=en,9364,5070,46,33,2750,45
John Heritage,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=hjsl6bcAAAAJ&hl=en,39326,17898,70,60,2322,38
Aldrin Gomes,University of California Davis,48,https://scholar.google.com/citations?user=j7_--8YAAAAJ&hl=en,7142,5593,37,28,4338,71
Long Wang,American University,69,https://scholar.google.com/citations?user=mXQ7uYEAAAAJ&hl=en,2664,2387,20,19,855,14
Xin-Yao YU,Yeshiva University,96,https://scholar.google.com/citations?user=gw8evSQAAAAJ&hl=en,4289,4254,36,35,3847,63
James Morris,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=z6SQmX8AAAAJ&hl=en,2429,571,19,9,122,2
Ekkehart Boehmer,Southern Methodist University,63,https://scholar.google.com/citations?user=uTM9dGkAAAAJ&hl=en,6389,3424,31,22,1098,18
Dr. Bijandra Kumar,University of Connecticut,58,https://scholar.google.com/citations?user=s_L2nBAAAAAJ&hl=en,1965,1849,24,23,1400,23
Carles Boix,Princeton,1,https://scholar.google.com/citations?user=OXmqgZcAAAAJ&hl=en,10900,5774,30,26,913,15
Laura L Hess,University of California Santa Barbara,39,https://scholar.google.com/citations?user=ple6DvYAAAAJ&hl=en,3672,1941,15,13,304,5
Carmen M Reinhart,Harvard,2,https://scholar.google.com/citations?user=rvtSK2oAAAAJ&hl=en,59531,27990,81,62,2553,42
Erik Ingelsson,Stanford,7,https://scholar.google.com/citations?user=G_AJnjEAAAAJ&hl=en,37167,32215,80,73,16348,269
"Paula Krakowiak, MS, PhD",University of California Davis,48,https://scholar.google.com/citations?user=xtcdbGoAAAAJ&hl=en,2611,2164,20,20,1033,17
Yu-Guo Guo,Yeshiva University,96,https://scholar.google.com/citations?user=mKiAYMQAAAAJ&hl=en,22674,19035,73,70,9599,158
Wen-Xiu Ma,University of Florida,45,https://scholar.google.com/citations?user=hYpwTc0AAAAJ&hl=en,9782,5464,58,42,1093,18
Bregt Verreet,Princeton,1,https://scholar.google.com/citations?user=5_uU6z8AAAAJ&hl=en,1546,1401,15,15,607,10
Lele Peng,Yeshiva University,96,https://scholar.google.com/citations?user=noXELXYAAAAJ&hl=en,3012,2999,24,24,2365,39
Derek Bailey,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=CzAzyuwAAAAJ&hl=en,1877,1860,17,17,1514,25
Shucheng Yu,Stevens Institute of Technology,71,https://scholar.google.com/citations?user=jYW_WCwAAAAJ&hl=en,6635,6277,32,32,2179,36
Shucheng Yu,Yeshiva University,96,https://scholar.google.com/citations?user=jYW_WCwAAAAJ&hl=en,6635,6277,32,32,2179,36
Marcia Miceli,Georgetown University,20,https://scholar.google.com/citations?user=p7TuN_4AAAAJ&hl=en,8648,4251,37,30,484,8
James Ackman,University of California Santa Cruz,85,https://scholar.google.com/citations?user=qtmtHEUAAAAJ&hl=en,1598,896,12,12,363,6
Navdeep Chandel,Northwestern,13,https://scholar.google.com/citations?user=ttxJ23MAAAAJ&hl=en,27009,16326,83,65,6954,115
Jin-Wook Lee,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=Uvhu7C4AAAAJ&hl=en,4417,4391,21,21,2781,46
Jens Koch,Northwestern,13,https://scholar.google.com/citations?user=k80ArJsAAAAJ&hl=en,6462,4636,29,26,1027,17
Madhavi Tadi,Miami University,78,https://scholar.google.com/citations?user=_mk9e1IAAAAJ&hl=en,1763,1682,8,8,483,8
Robert Hayes,Rutgers University,70,https://scholar.google.com/citations?user=HVdraWwAAAAJ&hl=en,2674,2492,19,19,1569,26
Robert Ford,University of Florida,45,https://scholar.google.com/citations?user=uLUuZxcAAAAJ&hl=en,6610,3088,36,26,1508,25
Li TAO,University of Texas at Austin,59,https://scholar.google.com/citations?user=1jTWcagAAAAJ&hl=en,1865,1795,19,16,1628,27
Diane Srivastava,Columbia,5,https://scholar.google.com/citations?user=RK-MOXMAAAAJ&hl=en,10264,6638,36,28,3013,50
Madhavi Tadi,University of Miami,49,https://scholar.google.com/citations?user=_mk9e1IAAAAJ&hl=en,1760,1679,8,8,482,8
Michael S. Gazzaniga,University of California Santa Barbara,39,https://scholar.google.com/citations?user=jpVab-AAAAAJ&hl=en,42315,11720,100,50,2289,38
Jodi Cooley,Southern Methodist University,63,https://scholar.google.com/citations?user=-HI_tH0AAAAJ&hl=en,9806,5017,43,30,2289,38
Steven Levitt,University of Chicago,3,https://scholar.google.com/citations?user=3NCppUQAAAAJ&hl=en,62712,31353,68,57,2949,49
Joshua J. Choi,University of Virginia,26,https://scholar.google.com/citations?user=trGlcq8AAAAJ&hl=en,2339,2104,19,19,1143,19
Jenny Clark,Clark University,81,https://scholar.google.com/citations?user=5s5UVZcAAAAJ&hl=en,3393,2825,19,16,782,13
Lele Peng,University of Texas at Austin,59,https://scholar.google.com/citations?user=noXELXYAAAAJ&hl=en,2990,2978,24,24,2345,39
Lyle Scruggs,University of Connecticut,58,https://scholar.google.com/citations?user=8jVij9EAAAAJ&hl=en,3763,2170,22,19,541,9
ian Clarke,Clark University,81,https://scholar.google.com/citations?user=z1l2s3MAAAAJ&hl=en,14405,7879,22,20,541,9
Long Lin,Georgia Institute of Technology,35,https://scholar.google.com/citations?user=vBZzNOQAAAAJ&hl=en,6446,6413,43,43,5766,96
Alexander Grey Krause,California Institute of Technology,10,https://scholar.google.com/citations?user=M3VZmxIAAAAJ&hl=en,1993,1957,7,7,660,11
Alison P. Klein,Johns Hopkins University,12,https://scholar.google.com/citations?user=7SinrSAAAAAJ&hl=en,16373,12932,53,47,4440,74
Garey Ramey,University of California San Diego,44,https://scholar.google.com/citations?user=QdGMrlYAAAAJ&hl=en,6530,2595,33,23,60,1
Joshua Tice,University of Illinois at Urbana Champaign,53,https://scholar.google.com/citations?user=yq1XXGYAAAAJ&hl=en,3951,1808,13,13,120,2
Guillermo Gonzalez Burgos,University of Pittsburgh,68,https://scholar.google.com/citations?user=ntbKdjEAAAAJ&hl=en,4392,2733,35,26,840,14
Andrew Drescher,University of Minnesota,73,https://scholar.google.com/citations?user=AtrCEKcAAAAJ&hl=en,4574,1853,31,21,180,3
